"year","pct","ser_num","datestop","timestop","city","sex","race","age"
2012,106,92,20120108,2010,4,1,2,20
2012,106,81,20120108,2035,4,1,5,21
2012,40,594,20120108,2035,3,1,2,16
2012,40,382,20120108,2045,3,1,1,19
2012,60,129,20120108,2100,2,1,3,29
2012,52,256,20120108,2145,3,1,2,17
2012,14,137,20120108,2225,1,1,1,24
2012,75,684,20120108,2235,2,1,2,18
2012,106,364,20120108,2245,4,1,5,18
2012,79,96,20120108,2305,2,1,1,18
2012,111,316,20120109,43,4,1,5,36
2012,26,136,20120109,107,1,1,1,54
2012,90,154,20120109,115,2,1,1,18
2012,90,366,20120109,330,2,1,3,27
2012,79,179,20120109,720,2,1,2,41
2012,50,36,20120109,755,3,1,4,18
2012,122,275,20120109,845,5,1,4,15
2012,47,263,20120109,930,3,1,1,26
2012,63,202,20120109,945,2,1,1,18
2012,49,219,20120109,1014,3,1,1,17
2012,45,109,20120109,1046,3,1,4,46
2012,47,227,20120109,1125,3,1,1,48
2012,105,995,20120109,1143,4,1,1,33
2012,112,96,20120109,1250,4,1,3,27
2012,73,489,20120109,1310,2,1,1,41
2012,79,790,20120109,1349,2,1,1,21
2012,90,312,20120109,1358,2,1,4,30
2012,103,408,20120109,1400,4,1,3,18
2012,48,316,20120109,1403,3,0,1,27
2012,108,116,20120109,1420,4,1,1,15
2012,75,1341,20120109,1430,2,1,1,21
2012,77,231,20120109,1436,2,1,1,49
2012,100,243,20120109,1445,4,1,4,25
2012,110,508,20120109,1505,4,1,3,20
2012,70,194,20120109,1510,2,1,1,17
2012,103,190,20120109,1515,4,1,1,19
2012,40,928,20120109,1520,3,0,3,50
2012,44,329,20120109,1526,3,1,3,26
2012,40,1096,20120109,1549,3,1,1,19
2012,18,52,20120109,1600,1,1,1,15
2012,46,1092,20120109,1605,3,1,1,16
2012,43,244,20120109,1610,3,1,2,26
2012,34,205,20120109,1635,1,1,3,18
