"year" "pct" "ser_num" "datestop" "timestop" "city" "sex" "race" "dob" "age"
"10169" 2012 44 189 1062012 1635 3 1 3 12311900 20
"10217" 2012 34 99 1062012 1700 1 0 3 2101997 14
"10256" 2012 73 254 1062012 1710 2 1 1 12311900 19
"10272" 2012 112 21 1062012 1717 4 1 1 12061963 49
"10284" 2012 34 337 1062012 1721 1 1 2 12311900 50
"10288" 2012 88 47 1062012 1723 2 0 1 6161998 13
"10366" 2012 40 292 1062012 1747 3 1 3 4181969 42
"10422" 2012 79 445 1062012 1810 2 0 1 12311900 35
"10454" 2012 77 471 1062012 1818 2 1 1 12311900 43
"10455" 2012 70 1059 1062012 1819 2 1 1 5151974 37
"10507" 2012 44 256 1062012 1830 3 1 3 12311900 48
"10511" 2012 61 80 1062012 1830 2 1 4 3191988 23
"10539" 2012 43 739 1062012 1842 3 1 1 7121987 24
"10564" 2012 75 1226 1062012 1847 2 1 3 2021982 29
"10599" 2012 9 90 1062012 1900 1 1 1 2051981 30
"10619" 2012 120 128 1062012 1900 5 1 3 6061971 40
"10631" 2012 13 149 1062012 1901 1 1 1 12311900 51
"10651" 2012 73 176 1062012 1910 2 0 3 12311900 1
"10674" 2012 23 279 1062012 1915 1 0 1 12311900 15
"10678" 2012 23 106 1062012 1915 1 1 1 12311900 17
"10693" 2012 77 450 1062012 1920 2 1 1 1201993 18
"10704" 2012 78 109 1062012 1920 2 1 1 12311900 30
"10728" 2012 44 249 1062012 1925 3 1 1 12311900 17
"10811" 2012 61 125 1062012 1940 2 1 4 3091990 21
"10819" 2012 122 311 1062012 1945 5 0 3 5091990 21
"10834" 2012 44 251 1062012 1948 3 1 1 12311900 23
"10835" 2012 75 514 1062012 1949 2 1 1 5081990 21
"10840" 2012 120 146 1062012 1950 5 1 1 12311900 35
"10862" 2012 10 29 1062012 1957 1 1 1 3091971 40
"10890" 2012 44 232 1062012 2002 3 1 1 12311900 20
"10897" 2012 100 155 1062012 2005 4 1 1 3281993 18
"10929" 2012 10 30 1062012 2010 1 1 3 4111964 47
"10938" 2012 78 40 1062012 2011 2 1 3 9181991 20
"10968" 2012 83 125 1062012 2015 2 1 2 12311900 21
"11006" 2012 67 266 1062012 2025 2 1 1 12311969 42
"11038" 2012 44 642 1062012 2030 3 1 3 12261990 21
"11074" 2012 23 56 1062012 2040 1 1 1 12311900 14
"11092" 2012 43 285 1062012 2045 3 0 1 9131974 37
"11130" 2012 67 314 1062012 2100 2 0 1 12311900 36
"11190" 2012 78 57 1062012 2110 2 1 1 1101991 19
"11213" 2012 61 96 1062012 2110 2 1 4 12301995 16
"11341" 2012 9 125 1062012 2136 1 1 4 12311900 26
"11383" 2012 32 214 1062012 2150 1 0 1 11101972 39
"11446" 2012 123 16 1062012 2207 5 1 4 2131991 20
"11526" 2012 41 149 1062012 2223 3 1 2 10231996 15
"11613" 2012 114 213 1062012 2235 4 1 1 12311900 30
"11620" 2012 52 624 1062012 2235 3 1 3 12311900 21
"11629" 2012 61 136 1062012 2240 2 1 4 1021966 45
"11637" 2012 73 162 1062012 2243 2 1 1 12311900 17
"11656" 2012 46 117 1062012 2250 3 1 1 5201995 16
"11658" 2012 101 159 1062012 2250 4 1 1 10281997 19
"11690" 2012 32 217 1062012 2258 1 1 1 12311900 16
"11699" 2012 83 486 1062012 2300 2 1 3 3161989 23
"11713" 2012 40 429 1062012 2305 3 1 1 8221992 19
"11750" 2012 75 406 1062012 2315 2 1 1 12311900 15
"11783" 2012 108 66 1062012 2323 4 1 4 9101986 25
"11788" 2012 40 675 1062012 2325 3 1 1 12311900 27
"11790" 2012 78 46 1062012 2325 2 1 4 4231996 15
"11850" 2012 40 997 1062012 2350 3 1 1 12311900 23
"11863" 2012 40 1766 1062012 2355 3 1 1 8201990 20
"11884" 2012 83 169 1072012 2 2 1 3 12311900 28
"11931" 2012 49 152 1072012 15 3 1 4 10261983 38
"11938" 2012 34 150 1072012 19 1 1 2 12311900 34
"11960" 2012 32 230 1072012 24 1 0 1 12311900 22
"11963" 2012 32 228 1072012 24 1 1 1 12311900 24
"12013" 2012 34 494 1072012 35 1 1 3 12311900 20
"12022" 2012 105 208 1072012 40 4 1 1 5021979 32
"12040" 2012 73 181 1072012 45 2 1 1 12311900 21
"12078" 2012 18 43 1072012 103 1 1 1 3061987 24
"12108" 2012 90 254 1072012 110 2 1 4 2121978 33
"12125" 2012 71 110 1072012 115 2 1 1 12311900 15
"12188" 2012 5 36 1072012 130 1 1 3 9301990 21
"12223" 2012 26 96 1072012 149 1 1 1 1281987 23
"12225" 2012 26 98 1072012 149 1 1 1 7241985 26
"12254" 2012 40 440 1072012 200 3 1 1 1151987 24
"12265" 2012 70 1139 1072012 200 2 1 2 2221982 29
"12267" 2012 26 105 1072012 200 1 1 3 3061983 28
"12270" 2012 43 250 1072012 201 3 1 1 12181981 30
"12366" 2012 81 188 1072012 250 2 1 1 9161972 29
"12446" 2012 32 353 1072012 355 1 1 1 12311900 22
"12448" 2012 47 236 1072012 355 3 1 1 12311900 23
"12461" 2012 28 100 1072012 400 1 1 3 6061981 30
"12463" 2012 72 93 1072012 400 2 1 4 7111989 22
"12509" 2012 32 343 1072012 455 1 0 2 12311900 36
"12544" 2012 28 90 1072012 535 1 1 3 7291955 57
